20260401 022500;1.157850;1.158130;1.157740;1.158020;0
20260401 022600;1.158010;1.158570;1.158010;1.158430;0
20260401 022700;1.158430;1.158860;1.158430;1.158580;0
20260401 022800;1.158590;1.158910;1.158590;1.158770;0
20260401 022900;1.158790;1.158900;1.158630;1.158670;0
20260401 023000;1.158690;1.158960;1.158660;1.158850;0
20260401 023100;1.158840;1.159230;1.158820;1.159220;0
20260401 023200;1.159210;1.159270;1.158950;1.158980;0
20260401 023300;1.159010;1.159160;1.158810;1.158820;0
20260401 023400;1.158830;1.158960;1.158770;1.158770;0
20260401 023500;1.158720;1.158770;1.158400;1.158420;0
20260401 023600;1.158420;1.158560;1.158270;1.158510;0
20260401 023700;1.158490;1.158600;1.158330;1.158570;0
20260401 023800;1.158570;1.158700;1.158350;1.158360;0
20260401 023900;1.158340;1.158350;1.158050;1.158080;0
20260401 024000;1.158100;1.158290;1.157910;1.158240;0
20260401 024100;1.158270;1.158550;1.158160;1.158540;0
20260401 024200;1.158550;1.158690;1.158500;1.158640;0
20260401 024300;1.158650;1.158730;1.158540;1.158670;0
20260401 024400;1.158660;1.158790;1.158610;1.158720;0
20260401 024500;1.158730;1.158950;1.158510;1.158780;0
20260401 024600;1.158760;1.158840;1.158530;1.158620;0
20260401 024700;1.158630;1.158920;1.158620;1.158830;0
20260401 024800;1.158850;1.158920;1.158740;1.158830;0
20260401 024900;1.158840;1.158860;1.158350;1.158400;0
20260401 025000;1.158400;1.158510;1.158010;1.158090;0
20260401 025100;1.158090;1.158250;1.158090;1.158200;0
20260401 025200;1.158180;1.158350;1.158180;1.158340;0
20260401 025300;1.158350;1.158690;1.158340;1.158660;0
20260401 025400;1.158650;1.158790;1.158580;1.158620;0
20260401 025500;1.158640;1.158940;1.158590;1.158920;0
20260401 025600;1.158940;1.159120;1.158840;1.159020;0
20260401 025700;1.159020;1.159090;1.158890;1.158970;0
20260401 025800;1.159000;1.159230;1.159000;1.159110;0
20260401 025900;1.159130;1.159140;1.158970;1.159110;0
20260401 030000;1.159120;1.159350;1.159120;1.159340;0
20260401 030100;1.159350;1.159460;1.158970;1.158980;0
20260401 030200;1.158960;1.158970;1.158660;1.158690;0
20260401 030300;1.158700;1.158830;1.158530;1.158600;0
20260401 030400;1.158570;1.158710;1.158440;1.158710;0
20260401 030500;1.158670;1.158730;1.158520;1.158620;0
20260401 030600;1.158590;1.158650;1.158390;1.158400;0
20260401 030700;1.158390;1.158450;1.158220;1.158240;0
20260401 030800;1.158240;1.158780;1.158230;1.158540;0
20260401 030900;1.158540;1.158560;1.158300;1.158530;0
20260401 031000;1.158530;1.158640;1.158230;1.158360;0
20260401 031100;1.158340;1.158460;1.158240;1.158430;0
20260401 031200;1.158460;1.158540;1.158310;1.158310;0
20260401 031300;1.158310;1.158620;1.158310;1.158560;0
20260401 031400;1.158570;1.158700;1.158510;1.158680;0
20260401 031500;1.158670;1.158670;1.158550;1.158600;0
20260401 031600;1.158610;1.158810;1.158610;1.158770;0
20260401 031700;1.158800;1.158980;1.158720;1.158980;0
20260401 031800;1.158980;1.159030;1.158820;1.158870;0
20260401 031900;1.158890;1.158920;1.158710;1.158890;0
20260401 032000;1.158900;1.159260;1.158900;1.159140;0
20260401 032100;1.159150;1.159290;1.159140;1.159220;0
20260401 032200;1.159210;1.159310;1.159110;1.159280;0
20260401 032300;1.159260;1.159260;1.158890;1.158950;0
20260401 032400;1.158940;1.158960;1.158720;1.158750;0
20260401 032500;1.158760;1.158840;1.158700;1.158760;0
20260401 032600;1.158760;1.159030;1.158720;1.158740;0
20260401 032700;1.158740;1.158880;1.158650;1.158880;0
20260401 032800;1.158870;1.158990;1.158870;1.158930;0
20260401 032900;1.158920;1.158980;1.158780;1.158930;0
20260401 033000;1.158920;1.159070;1.158880;1.159070;0
20260401 033100;1.159080;1.159080;1.158930;1.159000;0
20260401 033200;1.158990;1.159010;1.158800;1.158850;0
20260401 033300;1.158870;1.159160;1.158760;1.159100;0
20260401 033400;1.159120;1.159120;1.158870;1.158870;0
20260401 033500;1.158880;1.158930;1.158580;1.158640;0
20260401 033600;1.158650;1.158710;1.158440;1.158710;0
20260401 033700;1.158700;1.158930;1.158700;1.158830;0
20260401 033800;1.158840;1.159230;1.158830;1.159040;0
20260401 033900;1.159040;1.159040;1.158580;1.158760;0
20260401 034000;1.158750;1.158780;1.158330;1.158350;0
20260401 034100;1.158320;1.158440;1.158250;1.158420;0
20260401 034200;1.158430;1.158690;1.158330;1.158670;0
20260401 034300;1.158680;1.158950;1.158660;1.158900;0
20260401 034400;1.158890;1.159020;1.158850;1.158970;0
20260401 034500;1.158960;1.159170;1.158950;1.159170;0
20260401 034600;1.159170;1.159740;1.159090;1.159690;0
20260401 034700;1.159690;1.159850;1.159450;1.159540;0
20260401 034800;1.159540;1.159540;1.158280;1.158480;0
20260401 034900;1.158510;1.158520;1.157690;1.157890;0
20260401 035000;1.157890;1.158050;1.157770;1.157910;0
20260401 035100;1.157900;1.158300;1.157900;1.158140;0
20260401 035200;1.158160;1.158310;1.158030;1.158280;0
20260401 035300;1.158280;1.158400;1.158180;1.158360;0
20260401 035400;1.158390;1.158390;1.158130;1.158190;0
20260401 035500;1.158170;1.158350;1.158150;1.158230;0
20260401 035600;1.158210;1.158550;1.158200;1.158340;0
20260401 035700;1.158330;1.158450;1.158280;1.158320;0
20260401 035800;1.158310;1.158360;1.158080;1.158180;0
20260401 035900;1.158200;1.158340;1.158150;1.158190;0
20260401 040000;1.158190;1.158260;1.157900;1.158020;0
20260401 040100;1.158020;1.158020;1.157740;1.157790;0
20260401 040200;1.157810;1.158300;1.157750;1.158240;0
20260401 040300;1.158250;1.158910;1.158250;1.158880;0
20260401 040400;1.158900;1.159080;1.158830;1.158890;0
20260401 040500;1.158900;1.159110;1.158740;1.158740;0
20260401 040600;1.158770;1.158850;1.158530;1.158600;0
20260401 040700;1.158620;1.158820;1.158580;1.158660;0
20260401 040800;1.158670;1.158730;1.158570;1.158680;0
20260401 040900;1.158690;1.158740;1.158550;1.158650;0
20260401 041000;1.158650;1.158650;1.158430;1.158450;0
20260401 041100;1.158450;1.158450;1.158240;1.158410;0
20260401 041200;1.158420;1.158430;1.158170;1.158300;0
20260401 041300;1.158300;1.158470;1.158300;1.158450;0
20260401 041400;1.158440;1.158560;1.158360;1.158480;0
20260401 041500;1.158490;1.158760;1.158300;1.158650;0
20260401 041600;1.158650;1.158730;1.158520;1.158670;0
20260401 041700;1.158670;1.158960;1.158670;1.158900;0
20260401 041800;1.158910;1.159060;1.158880;1.159000;0
20260401 041900;1.158990;1.158990;1.158780;1.158910;0
20260401 042000;1.158900;1.159030;1.158880;1.159030;0
20260401 042100;1.159030;1.159150;1.158950;1.159110;0
20260401 042200;1.159120;1.159180;1.159100;1.159160;0
20260401 042300;1.159160;1.159240;1.159050;1.159050;0
20260401 042400;1.159050;1.159420;1.159040;1.159420;0
20260401 042500;1.159420;1.159750;1.159370;1.159750;0
20260401 042600;1.159740;1.159910;1.159680;1.159900;0
20260401 042700;1.159900;1.159930;1.159750;1.159850;0
20260401 042800;1.159860;1.159910;1.159740;1.159740;0
20260401 042900;1.159740;1.159970;1.159580;1.159960;0
20260401 043000;1.159980;1.160280;1.159920;1.160270;0
20260401 043100;1.160280;1.160460;1.160180;1.160420;0
20260401 043200;1.160450;1.160870;1.160260;1.160860;0
20260401 043300;1.160850;1.160890;1.160640;1.160700;0
20260401 043400;1.160690;1.160850;1.160560;1.160650;0
20260401 043500;1.160680;1.160790;1.160520;1.160520;0
20260401 043600;1.160500;1.160590;1.160340;1.160550;0
20260401 043700;1.160560;1.160600;1.160480;1.160560;0
20260401 043800;1.160580;1.160700;1.160540;1.160660;0
20260401 043900;1.160660;1.160870;1.160500;1.160870;0
20260401 044000;1.160870;1.160940;1.160770;1.160840;0
20260401 044100;1.160850;1.160910;1.160600;1.160620;0
20260401 044200;1.160640;1.160660;1.160500;1.160580;0
20260401 044300;1.160580;1.160800;1.160540;1.160800;0
20260401 044400;1.160790;1.161030;1.160790;1.161030;0
20260401 044500;1.161030;1.161060;1.160910;1.160910;0
20260401 044600;1.160910;1.160910;1.160700;1.160710;0
20260401 044700;1.160680;1.160680;1.160500;1.160530;0
20260401 044800;1.160520;1.160550;1.160300;1.160430;0
20260401 044900;1.160420;1.160460;1.160350;1.160430;0
20260401 045000;1.160410;1.160550;1.160370;1.160440;0
20260401 045100;1.160430;1.160620;1.160280;1.160300;0
20260401 045200;1.160280;1.160340;1.160180;1.160190;0
20260401 045300;1.160200;1.160510;1.160200;1.160420;0
20260401 045400;1.160450;1.160480;1.159750;1.160180;0
20260401 045500;1.160200;1.160360;1.159410;1.159710;0
20260401 045600;1.159720;1.159890;1.159590;1.159660;0
20260401 045700;1.159680;1.159920;1.159640;1.159880;0
20260401 045800;1.159880;1.159890;1.159680;1.159790;0
20260401 045900;1.159790;1.159830;1.159540;1.159610;0
20260401 050000;1.159620;1.159990;1.159540;1.159940;0
20260401 050100;1.159940;1.160040;1.159800;1.159910;0
20260401 050200;1.159900;1.160240;1.159860;1.160200;0
20260401 050300;1.160190;1.160190;1.159950;1.160070;0
20260401 050400;1.160060;1.160190;1.160030;1.160140;0
20260401 050500;1.160140;1.160260;1.159920;1.159950;0
20260401 050600;1.159950;1.160030;1.159660;1.159840;0
20260401 050700;1.159850;1.159860;1.159590;1.159780;0
20260401 050800;1.159790;1.159790;1.159450;1.159640;0
20260401 050900;1.159630;1.159680;1.159320;1.159370;0
20260401 051000;1.159340;1.159440;1.159270;1.159390;0
20260401 051100;1.159400;1.159500;1.159270;1.159470;0
20260401 051200;1.159440;1.159610;1.159290;1.159590;0
20260401 051300;1.159590;1.159590;1.159190;1.159370;0
20260401 051400;1.159370;1.159390;1.159120;1.159210;0
20260401 051500;1.159180;1.159220;1.159040;1.159180;0
20260401 051600;1.159190;1.159240;1.159030;1.159080;0
20260401 051700;1.159130;1.159190;1.158890;1.158990;0
20260401 051800;1.158990;1.159070;1.158870;1.158880;0
20260401 051900;1.158860;1.158880;1.158670;1.158800;0
20260401 052000;1.158830;1.158840;1.158570;1.158680;0
