id,box_id,label,created_at,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23
530,c434df149b37e968,very_good,1777125212,0.10263252424694153,16.0,1.0169491525424845,7.0,0.4375,0.03848719659258645,0.001710542070774446,3.0,2.2429906542057765,0.021726911945243222,1.8907884349713835,0.0,-1.0,0.046226544308997475,0.015226249802798427,0.011596317993581082,11.904761904761905,22.0,0.0,0.0,0.0,0.0,0.0,0.0
531,33974b7976ad51a2,good,1777125269,0.1418354879226223,24.0,1.9080459770116498,12.0,0.5,0.000854430650122907,0.0025632919504256376,3.0,4.592885375494602,0.020734710698188687,1.707900207900208,0.0,1.0,-0.047831768835904225,0.02537985745646728,0.01649199693135295,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
532,6019bf5667434d94,very_good,1777125329,0.09234084030164416,10.0,1.0,6.0,0.6,0.007695070025130686,0.001710015561133824,3.0,2.764168190127626,0.015286238378293827,0.9793229643183898,0.0,-1.0,-0.04444292502821066,-0.004085165209495176,-0.027583835880850154,3.5714285714285716,26.0,0.0,0.0,0.0,0.0,0.0,0.0
533,6f52359bffd7c388,very_good,1777125359,0.04622614859138524,10.0,0.2511627906976562,6.0,0.6,0.009416437676027848,0.005136238732390922,3.0,1.7027027027028256,0.010194064559401245,1.054549114331723,0.0,-1.0,-0.0393626670773994,-0.01810773010119621,-0.06946920799978672,3.5714285714285716,24.0,0.0,0.0,0.0,0.0,0.0,0.0
534,93fe3651f1b642df,very_good,1777125381,0.0392779684751718,9.0,0.22439024390251353,4.0,0.4444444444444444,0.001707737759781835,1.8959697809402064e-14,3.0,0.9569093610701145,0.00909705720759741,1.2075341282184207,0.0,1.0,0.05382683139385079,0.01819850057112414,0.02592409068111031,31.349206349206348,81.0,0.0,0.0,0.0,0.0,0.0,0.0
536,c5aa5e8d148a5746,very_good,1777125402,0.08025750706521699,24.0,0.4947368421052287,11.0,0.4583333333333333,0.005976622866560325,0.0008538032666568916,3.0,4.138364779874005,0.015466922028339119,0.5470853649661597,1.0,-1.0,-0.003415008964401947,-0.0015630375740281518,-0.043696424625784776,3.9682539682539684,23.0,0.0,0.0,0.0,0.0,0.0,0.0
537,813589346fbf401f,very_good,1777125412,0.03063777637826726,7.0,0.15254237288132563,3.0,0.42857142857142855,0.0017020986876930626,0.003404197375367228,3.0,1.124999999999839,0.006137004094332382,0.7526588491955277,1.0,-1.0,0.029793826719109975,0.00461951459386147,0.024614022584893726,66.26984126984127,26.0,0.0,0.0,0.0,0.0,0.0,0.0
538,ab1dc2a6fdaff2c6,very_good,1777125416,0.028110585339047006,9.0,0.3473684210525676,3.0,0.3333333333333333,0.0021295897984080665,0.0012777538790372741,3.0,2.0442477876103213,0.0062137256557076295,0.8016316396204665,0.0,-1.0,-0.026402078099053143,-0.00920591651265644,-0.020516378867238404,13.492063492063492,37.0,0.0,0.0,0.0,0.0,0.0,0.0
546,c2087840cfbf1daf,very_good,1777131530,0.08555124947598917,10.0,0.8130081300811687,5.0,0.5,0.0008555124947655906,0.0068440999580867325,3.0,1.772151898734028,0.01621167961213235,1.7269570514773074,0.0,1.0,0.023111689378894105,0.029309637683954642,0.032260443232965536,28.174603174603174,24.0,0.0,0.0,0.0,0.0,0.0,0.0
547,34af39ba44de20dd,very_good,1777131545,0.10434395874137227,8.0,0.4280701754385932,3.0,0.375,0.002565835051015172,0.002565835051015172,3.0,1.4257095158597264,0.03329806746306879,1.5034699783653172,0.0,-1.0,0.11984454450513345,0.0030738613710885776,-0.03854221230004227,5.158730158730159,23.0,0.0,0.0,0.0,0.0,0.0,0.0
548,99485174997dad0a,very_good,1777131563,0.08851063829786639,7.0,0.41599999999998083,4.0,0.5714285714285714,0.01361702127657157,0.005106382978737961,3.0,1.7416267942584567,0.01569095762178542,1.4865394302345105,0.0,1.0,0.09369995570548409,0.01966701389129556,0.027144298195479668,27.77777777777778,35.0,0.0,0.0,0.0,0.0,0.0,0.0
549,adf7348738773d53,very_good,1777131576,0.05600434457944835,7.0,0.19642857142853484,3.0,0.42857142857142855,0.0008485506754518967,0.0008485506754518967,3.0,1.0499999999998233,0.013564899896932547,0.5152887065266634,1.0,1.0,0.09681857557795093,0.04066229704032829,0.09886143577952615,69.44444444444444,28.0,0.0,0.0,0.0,0.0,0.0,0.0
551,325568c878298f6c,very_good,1777131588,0.05782706306551584,13.0,0.21656050955415004,6.0,0.46153846153846156,0.0051023879175410725,0.0025511939587705363,3.0,2.12500000000013,0.011337801128961345,0.5546147625400029,1.0,1.0,0.019566974350244796,0.016098244027360317,-0.03308945856361892,10.714285714285714,21.0,0.0,0.0,0.0,0.0,0.0,0.0
552,21489557fa2a0573,very_good,1777131627,0.09909278843690095,8.0,0.6170212765957371,4.0,0.5,0.013667970818877002,0.0025627445285382527,3.0,2.8194444444444633,0.01609951885150543,1.200170970934941,0.0,-1.0,0.03419329469490656,0.02523449716467158,-0.006755490688971706,11.507936507936508,48.0,0.0,0.0,0.0,0.0,0.0,0.0
